scenario,case,case_label,year,inv_bn,depreciation_bn,opening_rab_bn,closing_rab_bn,wacc_times_rab_bn,opex_bn,total_cost_bn,demand_twh,system_avg_ct_per_kwh,system_avg_eur_per_mwh,system_avg_eur_per_kwh
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2028,23.9516,7.2763,242.5431,259.2184,12.2242,17.7300,37.2305,587.7830,6.3341,63.3405,0.0633
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2029,23.9516,7.7766,259.2184,275.3935,14.2570,18.2700,40.3036,607.0440,6.6393,66.3932,0.0664
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2030,27.1451,8.2618,275.3935,294.2768,15.1466,18.8200,42.2284,626.3049,6.7425,67.4247,0.0674
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2031,22.2147,8.8283,294.2768,307.6632,16.1852,19.3600,44.3735,647.2369,6.8558,68.5584,0.0686
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2032,22.2147,9.2299,307.6632,320.6480,16.9215,19.9100,46.0614,668.1688,6.8937,68.9367,0.0689
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2033,22.2147,9.6194,320.6480,333.2432,17.6356,20.4500,47.7051,689.1007,6.9228,69.2280,0.0692
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2034,22.2147,9.9973,333.2432,345.4606,18.3284,21.0000,49.3257,710.0326,6.9470,69.4696,0.0695
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2035,22.2147,10.3638,345.4606,357.3115,19.0003,21.5500,50.9142,730.9645,6.9653,69.6534,0.0697
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2036,22.2147,10.7193,357.3115,368.8069,19.6521,22.0900,52.4615,751.8964,6.9772,69.7722,0.0698
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2037,22.2147,11.0642,368.8069,379.9573,20.2844,22.6400,53.9886,772.8283,6.9858,69.8584,0.0699
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2038,15.6810,11.3987,379.9573,384.2396,20.8977,23.1800,55.4764,793.7602,6.9891,69.8906,0.0699
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2039,15.6810,11.5272,384.2396,388.3933,21.1332,23.7300,56.3904,814.6922,6.9217,69.2168,0.0692
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2040,15.6810,11.6518,388.3933,392.4225,21.3616,24.2700,57.2834,835.6241,6.8552,68.5517,0.0686
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2023,15.0000,5.5800,186.0000,195.4200,9.3744,15.0000,29.9544,510.0000,5.8734,58.7341,0.0587
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2024,18.0000,5.8626,195.4200,207.5574,9.8492,15.5500,31.2618,520.0000,6.0119,60.1188,0.0601
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2025,18.0000,6.2267,207.5574,219.3307,10.4609,16.0900,32.7776,530.0000,6.1845,61.8446,0.0618
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2026,19.8304,6.5799,219.3307,232.5811,11.0543,16.6400,34.2742,549.2610,6.2401,62.4005,0.0624
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2027,19.8304,6.9774,232.5811,245.4341,11.7221,17.1800,35.8795,568.5220,6.3110,63.1102,0.0631
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2028,25.8657,7.3630,245.4341,263.9368,12.3699,17.7300,37.4629,587.7830,6.3736,63.7359,0.0637
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2029,25.8657,7.9181,263.9368,281.8844,14.5165,18.2700,40.7046,607.0440,6.7054,67.0538,0.0671
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2030,29.3145,8.4565,281.8844,302.7423,15.5036,18.8200,42.7802,626.3049,6.8306,68.3057,0.0683
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2031,27.0961,9.0823,302.7423,320.7562,16.6508,19.3600,45.0931,647.2369,6.9670,69.6702,0.0697
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2032,27.0961,9.6227,320.7562,338.2296,17.6416,19.9100,47.1743,668.1688,7.0602,70.6023,0.0706
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2033,27.0961,10.1469,338.2296,355.1788,18.6026,20.4500,49.1995,689.1007,7.1397,71.3967,0.0714
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2034,27.0961,10.6554,355.1788,371.6196,19.5348,21.0000,51.1902,710.0326,7.2096,72.0956,0.0721
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2035,27.0961,11.1486,371.6196,387.5671,20.4391,21.5500,53.1377,730.9645,7.2695,72.6953,0.0727
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2036,27.0961,11.6270,387.5671,403.0362,21.3162,22.0900,55.0332,751.8964,7.3193,73.1925,0.0732
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2037,27.0961,12.0911,403.0362,418.0412,22.1670,22.6400,56.8981,772.8283,7.3623,73.6232,0.0736
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2038,19.1267,12.5412,418.0412,424.6266,22.9923,23.1800,58.7135,793.7602,7.3969,73.9688,0.0740
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2039,19.1267,12.7388,424.6266,431.0145,23.3545,23.7300,59.8233,814.6922,7.3431,73.4305,0.0734
65%,E_tso_dso_split,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),2040,19.1267,12.9304,431.0145,437.2107,23.7058,24.2700,60.9062,835.6241,7.2887,72.8871,0.0729
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2023,15.0000,5.5800,186.0000,195.4200,9.3744,15.0000,29.9544,510.0000,5.8734,58.7341,0.0587
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2024,18.0000,5.8626,195.4200,207.5574,9.8492,15.5500,31.2618,520.0000,6.0119,60.1188,0.0601
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2025,18.0000,6.2267,207.5574,219.3307,10.4609,16.0900,32.7776,530.0000,6.1845,61.8446,0.0618
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2026,21.0475,6.5799,219.3307,233.7983,11.0543,16.6400,34.2742,549.2610,6.2401,62.4005,0.0624
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2027,21.0475,7.0139,233.7983,247.8319,11.7834,17.1800,35.9774,568.5220,6.3282,63.2823,0.0633
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2028,27.4533,7.4350,247.8319,267.8502,12.4907,17.7300,37.6557,587.7830,6.4064,64.0639,0.0641
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2029,27.4533,8.0355,267.8502,287.2680,14.7318,18.2700,41.0373,607.0440,6.7602,67.6018,0.0676
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2030,31.1137,8.6180,287.2680,309.7637,15.7997,18.8200,43.2378,626.3049,6.9036,69.0363,0.0690
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2031,29.0378,9.2929,309.7637,329.5086,17.0370,19.3600,45.6899,647.2369,7.0592,70.5923,0.0706
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2032,29.0378,9.8853,329.5086,348.6611,18.1230,19.9100,47.9182,668.1688,7.1716,71.7158,0.0717
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2033,29.0378,10.4598,348.6611,367.2390,19.1764,20.4500,50.0862,689.1007,7.2683,72.6834,0.0727
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2034,29.0378,11.0172,367.2390,385.2596,20.1981,21.0000,52.2153,710.0326,7.3539,73.5393,0.0735
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2035,29.0378,11.5578,385.2596,402.7396,21.1893,21.5500,54.2971,730.9645,7.4281,74.2814,0.0743
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2036,29.0378,12.0822,402.7396,419.6952,22.1507,22.0900,56.3229,751.8964,7.4908,74.9077,0.0749
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2037,29.0378,12.5909,419.6952,436.1421,23.0832,22.6400,58.3141,772.8283,7.5455,75.4554,0.0755
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2038,20.4972,13.0843,436.1421,443.5551,23.9878,23.1800,60.2521,793.7602,7.5907,75.9071,0.0759
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2039,20.4972,13.3067,443.5551,450.7456,24.3955,23.7300,61.4322,814.6922,7.5405,75.4054,0.0754
65%,E_dso_only_tso_nep,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),2040,20.4972,13.5224,450.7456,457.7205,24.7910,24.2700,62.5834,835.6241,7.4894,74.8942,0.0749
